,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,A1BG,0.033979464,0,5.39771668,0,1,NA
2,A1CF,18.47154324,-0.452746667,0.504462464,-0.897483359,0.369461049,0.694815732
3,A2ML1,0.449058853,0,4.278743552,0,1,NA
4,A3GALT2,14.29229634,1.531322348,0.662702919,2.310722202,0.020848204,NA
5,A4GALT,97.09951563,0.002661482,0.249547219,0.010665244,0.991490527,0.997608531
6,AACS,375.4790943,0.290447847,0.139303509,2.085000214,0.037069281,0.203811887
7,AADAC,0.204922014,0,5.39771668,0,1,NA
8,AADACL3,0,NA,NA,NA,NA,NA
9,AADACL4,0,NA,NA,NA,NA,NA
10,AADAT,110.834137,0.013517395,0.220107655,0.061412655,0.951030574,0.984387153
11,AAED1,221.3358142,0.039165801,0.178307575,0.219653038,0.826141382,0.942653626
12,AAGAB,292.4876885,-0.108285896,0.149899329,-0.722390794,0.470054245,0.769156369
13,AAK1,523.4087302,0.297900555,0.122225168,2.437309427,0.014797011,0.111526324
14,AAMDC,9.741866655,-0.393232467,0.678761071,-0.579338569,0.562360746,NA
15,AAMP,197.616265,-0.357745038,0.174066977,-2.055214861,0.039858256,0.212134598
16,AANAT,0.408336517,1.188229951,3.941488111,0.301467344,0.763058148,NA
17,AAR2,103.7270771,0.213268345,0.248917479,0.856783321,0.391564645,0.714403968
18,AARD,0,NA,NA,NA,NA,NA
19,AARS,370.0686158,0.201295213,0.134543167,1.49613851,0.134617564,0.433808597
20,AARS2,173.6948147,-0.243531814,0.185928301,-1.309815736,0.190258178,0.515577795
21,AASDH,0,NA,NA,NA,NA,NA
22,AASDHPPT,347.1820761,-0.385818179,0.150571599,-2.562356915,0.010396442,0.087413163
23,AASS,368.1342119,0.237136398,0.137665209,1.722558658,0.084968367,0.336448473
24,AATK,1.265798189,0,5.397716679,0,1,NA
25,ABAT,273.7317236,0.163789169,0.157902175,1.037282536,0.299604202,0.632473914
26,ABCA1,427.3751322,0.056555699,0.12776423,0.44265675,0.65801403,0.868219095
27,ABCA10,6.614722465,0.660195352,1.038150176,0.635934344,0.524819216,NA
28,ABCA12,6.534528289,0.352258699,0.973483417,0.361853826,0.717461267,NA
29,ABCA13,5.388469586,-0.030984168,0.997481792,-0.03106239,0.975219784,NA
30,ABCA2,409.6528116,0.373249928,0.158115511,2.36061551,0.018244635,0.129019091
31,ABCA3,342.3845634,0.18650621,0.140895597,1.323719217,0.185596314,0.510058019
32,ABCA4,76.50102479,0.641606558,0.274128215,2.340534552,0.019256157,0.133839371
33,ABCA5,47.15258732,0.103387853,0.360333618,0.286922586,0.774171596,0.920699516
34,ABCA6,1.418864131,-0.413326743,2.547674284,-0.162236886,0.871119314,NA
35,ABCA7,292.8207183,-0.249531157,0.165086216,-1.511520248,0.130655954,0.426758765
36,ABCA8,1.253811118,-1.243427921,2.125547782,-0.584991752,0.558553263,NA
37,ABCA9,0.782754328,0,3.2001656,0,1,NA
38,ABCB1,2613.729822,0.356809012,0.083070195,4.29527117,1.74479930064697e-05,0.000589332
39,ABCB10,308.6565996,-0.156479082,0.161616423,-0.968212751,0.332938128,0.662874861
40,ABCB11,0.058296989,-1.817628279,5.373781521,-0.338240078,0.735182276,NA
41,ABCB4,68.21353526,1.042245924,0.315073853,3.307941658,0.000939844,0.014975577
42,ABCB5,0,NA,NA,NA,NA,NA
43,ABCB6,83.1967808,-0.289303799,0.278532258,-1.038672509,0.298957071,0.631374612
44,ABCB7,165.3106205,-0.619061208,0.19550111,-3.166535508,0.001542665,0.021674537
45,ABCB8,103.3270866,-0.341613793,0.231360129,-1.476545652,0.139797469,0.442353531
46,ABCB9,30.3409282,-0.076579603,0.433605021,-0.176611432,0.859813614,0.955014442
47,ABCC1,0,NA,NA,NA,NA,NA
48,ABCC10,242.8094772,0.155609252,0.178605328,0.871246415,0.383619622,0.708239327
49,ABCC11,1.329268053,0.928383357,2.625547604,0.353596086,0.723641608,NA
50,ABCC12,0,NA,NA,NA,NA,NA
51,ABCC2,35.53801711,-0.348177373,0.498735623,-0.698120119,0.485102077,0.779504596
52,ABCC4,2151.733868,0.252643021,0.08610462,2.934140138,0.003344732,0.038063252
53,ABCC5,1500.417847,-0.134939306,0.096489439,-1.39848783,0.161966625,0.479352893
54,ABCC6,7.66448365,-0.83041734,0.877898754,-0.945914704,0.344192093,NA
55,ABCC8,4.715260492,0,2.258839099,0,1,NA
56,ABCC9,2215.241073,-0.059279557,0.092191395,-0.64300531,0.520220654,0.796866576
57,ABCD1,14.7740531,-0.519464345,0.591265261,-0.878563952,0.379637748,NA
58,ABCD2,1.502564255,1.295599689,1.952925438,0.663414825,0.507064913,NA
59,ABCD3,381.0110937,-0.177527187,0.150941436,-1.176132887,0.239541778,0.575416968
60,ABCD4,170.6010956,0.111363371,0.201189782,0.553523991,0.579904658,0.83040769
61,ABCE1,1080.450188,0.06153848,0.102148301,0.602442524,0.546879611,0.811352341
62,ABCF1,547.9335594,-0.108203343,0.1243507,-0.87014663,0.384220278,0.709015127
63,ABCF2,356.5213167,-0.432401204,0.146257127,-2.956445357,0.003112074,0.036285979
64,ABCF3,176.3238872,-0.059129856,0.200097199,-0.295505667,0.767607624,0.918653035
65,ABCG2,37.82409377,0.117199921,0.419362581,0.279471576,0.779882949,0.923110774
66,ABCG4,1.935277004,-1.868156256,2.391539272,-0.781152239,0.434712961,NA
67,ABCG5,0,NA,NA,NA,NA,NA
68,ABCG8,0,NA,NA,NA,NA,NA
69,ABHD1,0.444774212,0.940486217,4.253644955,0.22110125,0.825013597,NA
70,ABHD10,45.93074951,0.132764771,0.361344583,0.367418738,0.713306696,0.89680667
71,ABHD11,61.63070491,0.626240609,0.316435225,1.979048347,0.047810563,0.236405587
72,ABHD12B,0,NA,NA,NA,NA,NA
73,ABHD13,253.615689,0.124998457,0.179448435,0.696570339,0.486071724,0.779977614
74,ABHD14A,30.7378263,0.111858193,0.403906984,0.276940478,0.78182581,0.923566364
75,ABHD14B,41.22339345,0.148387261,0.360901774,0.411156917,0.680957477,0.882004916
76,ABHD15,39.78546339,-0.154769698,0.359377296,-0.430660757,0.666715057,0.873706578
77,ABHD16A,204.4600947,0.010939274,0.18576672,0.058887155,0.953041989,0.984806089
78,ABHD16B,0,NA,NA,NA,NA,NA
79,ABHD17A,73.82340151,0.010643471,0.310285808,0.034302151,0.97263621,0.991745816
80,ABHD17B,157.4058351,-0.150483849,0.211521067,-0.711436699,0.476813664,0.773027022
81,ABHD17C,174.1983547,-0.138228018,0.182918836,-0.75567952,0.449841366,0.754729579
82,ABHD2,491.9904227,-0.01775495,0.116812092,-0.15199582,0.879190233,0.963276742
83,ABHD3,89.0658334,-0.38797862,0.275893426,-1.406262648,0.159646147,0.476191494
84,ABHD4,134.5407398,-0.303060595,0.200452821,-1.511879924,0.130564412,0.426577963
85,ABHD5,424.5609089,0.690943806,0.141835189,4.87145546,1.10779137903781e-06,5.75270694982278e-05
86,ABHD6,32.32904421,0.672173705,0.420005794,1.600391506,0.109511758,0.387526203
87,ABHD8,30.65841284,-0.00344512,0.397335924,-0.008670548,0.99308199,0.997804447
88,ABI1,569.1291115,0.158895642,0.114842701,1.383593738,0.166482887,0.48612838
89,ABI2,445.8538458,0.058802069,0.13419396,0.438187153,0.661250621,0.870540799
90,ABI3,4.158308473,0.91997454,1.297230039,0.709183809,0.47821042,NA
91,ABI3BP,9.149207908,0.724027962,0.806749458,0.897463214,0.369471794,NA
92,ABL1,1022.597133,-0.10353778,0.094023648,-1.101188707,0.270814536,0.605997479
93,ABL2,792.5059407,0.305374687,0.116447432,2.622425272,0.008730641,0.077206901
94,ABLIM1,651.0602843,0.222250588,0.108340056,2.051416589,0.040226395,0.213406275
95,ABLIM2,1.295326655,-1.251435436,2.201611897,-0.56841782,0.569751293,NA
96,ABLIM3,295.0806211,0.493581224,0.15996232,3.085609323,0.002031355,0.026253903
